chapter,chapter_title,sentiment,n
1,Earliest Memories,negative,91
1,Earliest Memories,positive,57
2,The Teenage Period,positive,106
2,The Teenage Period,negative,47
3,World War Two,negative,61
3,World War Two,positive,60
4,My College Years BYU and Colombia,positive,98
4,My College Years BYU and Colombia,negative,61
5,The CIA,positive,140
5,The CIA,negative,88
6,Montevideo Uruguay,positive,85
6,Montevideo Uruguay,negative,58
7,Headquarters Duty,positive,96
7,Headquarters Duty,negative,53
8,Rio De Janeiro,positive,46
8,Rio De Janeiro,negative,41
9,The McLean Va. Years,negative,26
9,The McLean Va. Years,positive,25
10,Making a Career Change,positive,89
10,Making a Career Change,negative,33
11,Post Rio to Retirement,positive,73
11,Post Rio to Retirement,negative,48
