source_record_id,assigned_chapter,chapter_title,year,snippet
1,1,Earliest Memories,1916,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1917,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1918,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1924,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1926,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1927,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1928,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1929,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1930,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1932,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1933,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1934,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1935,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1940,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
1,1,Earliest Memories,1977,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
2,2,The Teenage Period,1934,". ee GHAPTER TWO The Teenage Period CHAPTER TWO PART ONE I was ordained a Deacon in the Aaronic Priesthood on my birthday, April 1, 1934 by my Bishop, Louis F. Nuffer. Later when I was in high school he was also my biology teacher. Passing "
2,2,The Teenage Period,1936,". ee GHAPTER TWO The Teenage Period CHAPTER TWO PART ONE I was ordained a Deacon in the Aaronic Priesthood on my birthday, April 1, 1934 by my Bishop, Louis F. Nuffer. Later when I was in high school he was also my biology teacher. Passing "
2,2,The Teenage Period,1937,". ee GHAPTER TWO The Teenage Period CHAPTER TWO PART ONE I was ordained a Deacon in the Aaronic Priesthood on my birthday, April 1, 1934 by my Bishop, Louis F. Nuffer. Later when I was in high school he was also my biology teacher. Passing "
2,2,The Teenage Period,1939,". ee GHAPTER TWO The Teenage Period CHAPTER TWO PART ONE I was ordained a Deacon in the Aaronic Priesthood on my birthday, April 1, 1934 by my Bishop, Louis F. Nuffer. Later when I was in high school he was also my biology teacher. Passing "
2,2,The Teenage Period,1940,". ee GHAPTER TWO The Teenage Period CHAPTER TWO PART ONE I was ordained a Deacon in the Aaronic Priesthood on my birthday, April 1, 1934 by my Bishop, Louis F. Nuffer. Later when I was in high school he was also my biology teacher. Passing "
2,2,The Teenage Period,1941,". ee GHAPTER TWO The Teenage Period CHAPTER TWO PART ONE I was ordained a Deacon in the Aaronic Priesthood on my birthday, April 1, 1934 by my Bishop, Louis F. Nuffer. Later when I was in high school he was also my biology teacher. Passing "
2,2,The Teenage Period,1942,". ee GHAPTER TWO The Teenage Period CHAPTER TWO PART ONE I was ordained a Deacon in the Aaronic Priesthood on my birthday, April 1, 1934 by my Bishop, Louis F. Nuffer. Later when I was in high school he was also my biology teacher. Passing "
2,2,The Teenage Period,1943,". ee GHAPTER TWO The Teenage Period CHAPTER TWO PART ONE I was ordained a Deacon in the Aaronic Priesthood on my birthday, April 1, 1934 by my Bishop, Louis F. Nuffer. Later when I was in high school he was also my biology teacher. Passing "
2,2,The Teenage Period,1945,". ee GHAPTER TWO The Teenage Period CHAPTER TWO PART ONE I was ordained a Deacon in the Aaronic Priesthood on my birthday, April 1, 1934 by my Bishop, Louis F. Nuffer. Later when I was in high school he was also my biology teacher. Passing "
2,2,The Teenage Period,1980,". ee GHAPTER TWO The Teenage Period CHAPTER TWO PART ONE I was ordained a Deacon in the Aaronic Priesthood on my birthday, April 1, 1934 by my Bishop, Louis F. Nuffer. Later when I was in high school he was also my biology teacher. Passing "
2,2,The Teenage Period,1988,". ee GHAPTER TWO The Teenage Period CHAPTER TWO PART ONE I was ordained a Deacon in the Aaronic Priesthood on my birthday, April 1, 1934 by my Bishop, Louis F. Nuffer. Later when I was in high school he was also my biology teacher. Passing "
3,3,World War Two,1942,"GHAPTER THREE World War Two ! CHAPTER THREE PART ONE As I have mentioned I enlisted in the U. S. Navy on October 23, 1942, having completed successfully the exam to qualify me for training as an Electronics Technician. I went to Treasure Is"
3,3,World War Two,1943,"GHAPTER THREE World War Two ! CHAPTER THREE PART ONE As I have mentioned I enlisted in the U. S. Navy on October 23, 1942, having completed successfully the exam to qualify me for training as an Electronics Technician. I went to Treasure Is"
3,3,World War Two,1944,"GHAPTER THREE World War Two ! CHAPTER THREE PART ONE As I have mentioned I enlisted in the U. S. Navy on October 23, 1942, having completed successfully the exam to qualify me for training as an Electronics Technician. I went to Treasure Is"
3,3,World War Two,1945,"GHAPTER THREE World War Two ! CHAPTER THREE PART ONE As I have mentioned I enlisted in the U. S. Navy on October 23, 1942, having completed successfully the exam to qualify me for training as an Electronics Technician. I went to Treasure Is"
3,3,World War Two,1986,"GHAPTER THREE World War Two ! CHAPTER THREE PART ONE As I have mentioned I enlisted in the U. S. Navy on October 23, 1942, having completed successfully the exam to qualify me for training as an Electronics Technician. I went to Treasure Is"
4,4,My College Years BYU and Colombia,1932,"ia 7 GHAPTER FOUR My College Years BYU And Columbic | CHAPTER FOUR PART ONE It didn't take long to start running into my old high school friends most of whom were also back from the war. One of the girls that I knew, named Rayola Smith, dau"
4,4,My College Years BYU and Colombia,1939,"ia 7 GHAPTER FOUR My College Years BYU And Columbic | CHAPTER FOUR PART ONE It didn't take long to start running into my old high school friends most of whom were also back from the war. One of the girls that I knew, named Rayola Smith, dau"
4,4,My College Years BYU and Colombia,1946,"ia 7 GHAPTER FOUR My College Years BYU And Columbic | CHAPTER FOUR PART ONE It didn't take long to start running into my old high school friends most of whom were also back from the war. One of the girls that I knew, named Rayola Smith, dau"
4,4,My College Years BYU and Colombia,1947,"ia 7 GHAPTER FOUR My College Years BYU And Columbic | CHAPTER FOUR PART ONE It didn't take long to start running into my old high school friends most of whom were also back from the war. One of the girls that I knew, named Rayola Smith, dau"
4,4,My College Years BYU and Colombia,1948,"ia 7 GHAPTER FOUR My College Years BYU And Columbic | CHAPTER FOUR PART ONE It didn't take long to start running into my old high school friends most of whom were also back from the war. One of the girls that I knew, named Rayola Smith, dau"
4,4,My College Years BYU and Colombia,1949,"ia 7 GHAPTER FOUR My College Years BYU And Columbic | CHAPTER FOUR PART ONE It didn't take long to start running into my old high school friends most of whom were also back from the war. One of the girls that I knew, named Rayola Smith, dau"
4,4,My College Years BYU and Colombia,1950,"ia 7 GHAPTER FOUR My College Years BYU And Columbic | CHAPTER FOUR PART ONE It didn't take long to start running into my old high school friends most of whom were also back from the war. One of the girls that I knew, named Rayola Smith, dau"
4,4,My College Years BYU and Colombia,1952,"ia 7 GHAPTER FOUR My College Years BYU And Columbic | CHAPTER FOUR PART ONE It didn't take long to start running into my old high school friends most of whom were also back from the war. One of the girls that I knew, named Rayola Smith, dau"
