entity_id,canonical_entity,entity_type,review_status,total_count,chapters,extraction_methods,notes
place_united_states,United States,Place,accepted,151,1; 2; 3; 4; 5; 6; 7; 8; 9; 11,seed_phrase,Country/geopolitical place; high-value recurring historical/geographic entity.
person_marion,Marion,Person,,87,3; 4; 5; 6; 7; 8; 9; 11,seed_phrase,Later spouse/family reference
place_idaho,Idaho,Place,,46,1; 2; 3; 4; 5; 6,seed_phrase,State/geographic setting
place_washington,Washington,Place,,41,3; 4; 5; 6; 7; 8; 9; 11,seed_phrase,State/geographic setting
place_new_york,New York,Place,accepted,37,1; 4; 5; 6; 7; 8; 9; 11,seed_phrase,Place; review specific New York vs New York City mentions if needed.
place_utah,Utah,Place,,35,1; 2; 3; 4; 5; 6; 7; 8; 9; 11,seed_phrase,State/geographic setting
place_idaho_falls,Idaho Falls,Place,,33,1; 2; 3; 4; 5,seed_phrase,Early childhood and later family setting
place_soviet_union,Soviet Union,Place,accepted,30,1; 4; 5; 6; 7; 8; 9,seed_phrase,Country/geopolitical entity; useful for Cold War/CIA context.
place_uruguay,Uruguay,Place,,26,6; 7,seed_phrase,Foreign service post
person_richard,Richard,Person,,21,1; 3; 4; 6; 7; 8; 9; 11,seed_phrase,Brother/family member
event_world_war_ii,World War II,Event,accepted,20,2; 3; 4; 5; 6,seed_phrase,Major historical event/life-stage context.
person_martin,Martin,Person,,18,1; 2; 3; 4; 5; 8; 9; 11,seed_phrase,Brother/family member
place_virginia,Virginia,Place,,18,4; 5; 6; 7; 8; 9; 11,seed_phrase,State/geographic setting
place_california,California,Place,,17,2; 4; 5; 6; 7; 8; 11,seed_phrase,State/geographic setting
place_arizona,Arizona,Place,,16,1; 3; 7; 11,seed_phrase,State/geographic setting
place_montevideo,Montevideo,Place,,15,6; 8; 11,seed_phrase,Foreign service post
person_loverna,Loverna,Person,,13,1; 2; 5; 11,seed_phrase,Sister/family member
place_rio_de_janeiro,Rio De Janeiro,Place,,13,7; 8; 9; 11,seed_phrase,Foreign service post
date__1973,1973,Date,candidate,12,10; 11,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
organization_place_american_embassy,American Embassy,Organization/Place,accepted,11,6; 7; 8,seed_phrase,Embassy can function as institution and location.
date__1945,1945,Date,candidate,10,2; 3,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1948,1948,Date,candidate,10,4,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1961,1961,Date,candidate,9,7,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1968,1968,Date,candidate,9,9; 10; 11,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
organization_sunday_school,Sunday School,Organization,candidate,9,2; 5; 8; 9; 11,seed_phrase,Church program; may be generic.
person_ila_rose,Ila Rose,Person,,9,1; 2; 4; 7,seed_phrase,Sister/family member
place_salt_lake_city,Salt Lake City,Place,,9,1; 2; 4,seed_phrase,Work church college and family setting
date__1953,1953,Date,candidate,8,4; 5,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1954,1954,Date,candidate,8,5,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1974,1974,Date,candidate,8,11,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
place_japan,Japan,Place,,8,2; 3; 6,seed_phrase,Pacific theater
place_mesa,Mesa,Place,,8,1,seed_phrase,Arizona childhood period
date__1939,1939,Date,candidate,7,2; 4; 5,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1950,1950,Date,candidate,7,4; 5; 6; 7,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1955,1955,Date,candidate,7,5; 6; 11,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1965,1965,Date,candidate,7,7; 8,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1966,1966,Date,candidate,7,8,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
organization_air_force,Air Force,Organization,accepted,7,4; 5; 6,seed_phrase,Military organization.
organization_columbia_university,Columbia University,Organization,,7,4; 5,seed_phrase,Graduate education
organization_foreign_service,Foreign Service,Organization,accepted,7,8; 10; 11,seed_phrase,Government/diplomatic service context.
