id,label,short_label,type,group,chapter,title,value
chapter_1,Ch. 1: Earliest Memories,Ch. 1,Chapter,Chapter,1,"Ch. 1: Earliest Memories
Type: Chapter
Review status: unreviewed seed
Total mentions: 25",25
chapter_2,Ch. 2: The Teenage Period,Ch. 2,Chapter,Chapter,2,"Ch. 2: The Teenage Period
Type: Chapter
Review status: unreviewed seed
Total mentions: 25",25
chapter_3,Ch. 3: World War Two,Ch. 3,Chapter,Chapter,3,"Ch. 3: World War Two
Type: Chapter
Review status: unreviewed seed
Total mentions: 25",25
chapter_4,Ch. 4: My College Years BYU and Colombia,Ch. 4,Chapter,Chapter,4,"Ch. 4: My College Years BYU and Colombia
Type: Chapter
Review status: unreviewed seed
Total mentions: 25",25
chapter_5,Ch. 5: The CIA,Ch. 5,Chapter,Chapter,5,"Ch. 5: The CIA
Type: Chapter
Review status: unreviewed seed
Total mentions: 25",25
chapter_6,Ch. 6: Montevideo Uruguay,Ch. 6,Chapter,Chapter,6,"Ch. 6: Montevideo Uruguay
Type: Chapter
Review status: unreviewed seed
Total mentions: 25",25
chapter_7,Ch. 7: Headquarters Duty,Ch. 7,Chapter,Chapter,7,"Ch. 7: Headquarters Duty
Type: Chapter
Review status: unreviewed seed
Total mentions: 25",25
chapter_8,Ch. 8: Rio De Janeiro,Ch. 8,Chapter,Chapter,8,"Ch. 8: Rio De Janeiro
Type: Chapter
Review status: unreviewed seed
Total mentions: 25",25
chapter_9,Ch. 9: The McLean Va. Years,Ch. 9,Chapter,Chapter,9,"Ch. 9: The McLean Va. Years
Type: Chapter
Review status: unreviewed seed
Total mentions: 25",25
chapter_10,Ch. 10: Making a Career Change,Ch. 10,Chapter,Chapter,10,"Ch. 10: Making a Career Change
Type: Chapter
Review status: unreviewed seed
Total mentions: 25",25
chapter_11,Ch. 11: Post Rio to Retirement,Ch. 11,Chapter,Chapter,11,"Ch. 11: Post Rio to Retirement
Type: Chapter
Review status: unreviewed seed
Total mentions: 25",25
date__1973,1973,1973,Date,Date,NA,"1973
Type: Date
Review status: unreviewed seed
Total mentions: 13.856406460551",13.856406460551018
date__1945,1945,1945,Date,Date,NA,"1945
Type: Date
Review status: unreviewed seed
Total mentions: 12.6491106406735",12.649110640673518
date__1948,1948,1948,Date,Date,NA,"1948
Type: Date
Review status: unreviewed seed
Total mentions: 12.6491106406735",12.649110640673518
date__1961,1961,1961,Date,Date,NA,"1961
Type: Date
Review status: unreviewed seed
Total mentions: 12",12
date__1968,1968,1968,Date,Date,NA,"1968
Type: Date
Review status: unreviewed seed
Total mentions: 12",12
date__1953,1953,1953,Date,Date,NA,"1953
Type: Date
Review status: unreviewed seed
Total mentions: 11.3137084989848",11.31370849898476
date__1954,1954,1954,Date,Date,NA,"1954
Type: Date
Review status: unreviewed seed
Total mentions: 11.3137084989848",11.31370849898476
date__1974,1974,1974,Date,Date,NA,"1974
Type: Date
Review status: unreviewed seed
Total mentions: 11.3137084989848",11.31370849898476
date__1939,1939,1939,Date,Date,NA,"1939
Type: Date
Review status: unreviewed seed
Total mentions: 10.5830052442584",10.583005244258365
date__1950,1950,1950,Date,Date,NA,"1950
Type: Date
Review status: unreviewed seed
Total mentions: 10.5830052442584",10.583005244258365
date__1955,1955,1955,Date,Date,NA,"1955
Type: Date
Review status: unreviewed seed
Total mentions: 10.5830052442584",10.583005244258365
date__1965,1965,1965,Date,Date,NA,"1965
Type: Date
Review status: unreviewed seed
Total mentions: 10.5830052442584",10.583005244258365
date__1966,1966,1966,Date,Date,NA,"1966
Type: Date
Review status: unreviewed seed
Total mentions: 10.5830052442584",10.583005244258365
date__1947,1947,1947,Date,Date,NA,"1947
Type: Date
Review status: unreviewed seed
Total mentions: 9.79795897113271",9.797958971132712
