source_record_id,assigned_chapter,chapter_title,detected_chapter,detected_heading,word_count,review_flag,snippet
1,1,Earliest Memories,1,"CHAPTER ONE | PART ONE | According to the brief history of my father (as told | to my sister, Ila Rose, by my father's half-sister, Mary |",3592,ok,"CHAPTER ONE PART ONE According to the brief history of my father (as told to my sister, Ila Rose, by my father's half-sister, Mary | Anderson) he owned a homestead in the Lone Pine country | twenty miles east of Idaho Falls. The family stay"
2,2,The Teenage Period,2,. ee | GHAPTER TWO | The Teenage Period | CHAPTER TWO,3811,ok,". ee GHAPTER TWO The Teenage Period CHAPTER TWO PART ONE I was ordained a Deacon in the Aaronic Priesthood on my birthday, April 1, 1934 by my Bishop, Louis F. Nuffer. Later when I was in high school he was also my biology teacher. Passing "
3,3,World War Two,3,GHAPTER THREE | World War Two | ! CHAPTER THREE | PART ONE,2732,ok,"GHAPTER THREE World War Two ! CHAPTER THREE PART ONE As I have mentioned I enlisted in the U. S. Navy on October 23, 1942, having completed successfully the exam to qualify me for training as an Electronics Technician. I went to Treasure Is"
4,4,My College Years BYU and Colombia,4,ia 7 | GHAPTER FOUR | My College Years | BYU And Columbic,4315,ok,"ia 7 GHAPTER FOUR My College Years BYU And Columbic | CHAPTER FOUR PART ONE It didn't take long to start running into my old high school friends most of whom were also back from the war. One of the girls that I knew, named Rayola Smith, dau"
5,5,The CIA,5,CHAPTER FIVE | PART ONE | This next part will be devoted to the period of time | that I was employed at the Central Intelligence Agency. The,6482,ok,"CHAPTER FIVE PART ONE This next part will be devoted to the period of time that I was employed at the Central Intelligence Agency. The C.I.A. was chartered in 1947 and was an outgrowth of the Office of Strategic Services, the military intel"
6,6,Montevideo Uruguay,6,"| GHAPTER SIX | | Montevideo, Uruguay | “ | CHAPTER SIX",3946,ok,"| GHAPTER SIX | Montevideo, Uruguay “ CHAPTER SIX RETURN TO HEADQUARTERS PART ONE Upon my return to Headquarters I was assigned to be the Deputy Chief of SR/2. This component of the SR(Soviet Russia) Division was responsible for providing H"
7,7,Headquarters Duty,7,GHAPTER SEVEN | Headquarters Duty | CHAPTER SEVEN | We spent a little time in California but the majority,3938,ok,GHAPTER SEVEN Headquarters Duty CHAPTER SEVEN We spent a little time in California but the majority of it in Utah where it was a cold 14 degrees most of the time. While there we had the opportunity to visit and have dinner with the Lee's an
8,8,Rio De Janeiro,8,GHAPTER LIGHT | Rio de Janeiro | CHAPTER EIGHT | PART ONE,3136,ok,"GHAPTER LIGHT Rio de Janeiro CHAPTER EIGHT PART ONE Both Sedoff and I were assigned to Rio de Janeiro station effective at the end of the fiscal year, June 30, 1965. I commenced the study of the Portuguese language full time upon our return"
9,9,The McLean Va. Years,9,"GHAPTER NINE _ | The McLean, Vc. Years | “ "" ET | CHAPTER NINE",1313,ok,"GHAPTER NINE _ The McLean, Vc. Years “ "" ET CHAPTER NINE After returning from home leave we had to go through the usual trauma of getting lodging. We had sold our house in Fairfax, Virginia before we left for Rio de Janeiro so we had to fin"
10,10,Making a Career Change,10,"GHAPTER TEN | Making a Coreer Change | CHAPTER TEN | This was the year that I made a major career change,",2694,ok,"GHAPTER TEN Making a Coreer Change CHAPTER TEN This was the year that I made a major career change, SO I am interrupting the narrative to devote Space to my five years (1968 - 1973) in the Personnel Management Staff, which eventually become"
11,11,Post Rio to Retirement,11,GHAPTER ELEVEN | Post-Rio to Retirement | CHAPTER ELEVEN | I'll return now to about 1968 and include some of the,3532,ok,GHAPTER ELEVEN Post-Rio to Retirement CHAPTER ELEVEN I'll return now to about 1968 and include some of the activities in which our family was engaged during the period of time that I was in the Personnel Management Staff as related in the f
