entity_id,canonical_entity,entity_type,review_status,total_count,chapters,extraction_methods,notes
date__1973,1973,Date,candidate,24,10; 11; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1945,1945,Date,candidate,20,2; 3; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1948,1948,Date,candidate,20,4; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1961,1961,Date,candidate,18,7; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1968,1968,Date,candidate,18,9; 10; 11; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1953,1953,Date,candidate,16,4; 5; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1954,1954,Date,candidate,16,5; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1974,1974,Date,candidate,16,11; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1939,1939,Date,candidate,14,2; 4; 5; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1950,1950,Date,candidate,14,4; 5; 6; 7; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1955,1955,Date,candidate,14,5; 6; 11; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1965,1965,Date,candidate,14,7; 8; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1966,1966,Date,candidate,14,8; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1947,1947,Date,candidate,12,4; 5; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1932,1932,Date,candidate,10,1; 4; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1940,1940,Date,candidate,10,1; 2; 6; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1942,1942,Date,candidate,10,2; 3; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1952,1952,Date,candidate,10,4; 5; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1959,1959,Date,candidate,10,6; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1960,1960,Date,candidate,10,7; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1963,1963,Date,candidate,10,7; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1969,1969,Date,candidate,10,6; 10; 11; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1971,1971,Date,candidate,10,10; 11; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1929,1929,Date,candidate,8,1; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1930,1930,Date,candidate,8,1; 6; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1943,1943,Date,candidate,8,2; 3; 5; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1946,1946,Date,candidate,8,4; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1949,1949,Date,candidate,8,4; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1956,1956,Date,candidate,8,6; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1958,1958,Date,candidate,8,6; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
date__1962,1962,Date,candidate,8,7; 12,year_regex,"Detected four-digit year. Review whether this is chapter-period date, historical context, or retrospective reference."
