chapter,chapter_title,negative,positive,net_bing_sentiment,sentiment_intensity,afinn_score
1,Earliest Memories,91,57,-34,148,-34
2,The Teenage Period,47,106,59,153,59
3,World War Two,61,60,-1,121,-1
4,My College Years BYU and Colombia,61,98,37,159,37
5,The CIA,88,140,52,228,52
6,Montevideo Uruguay,58,85,27,143,27
7,Headquarters Duty,53,96,43,149,43
8,Rio De Janeiro,41,46,5,87,5
9,The McLean Va. Years,26,25,-1,51,-1
10,Making a Career Change,33,89,56,122,56
11,Post Rio to Retirement,48,73,25,121,25
