id,chapter,chapter_title,approx_start_year,approx_end_year,negative,positive,net_bing_sentiment,sentiment_intensity
ch01_p001,1,Earliest Memories,1922,1934,10,0,-10,10
ch01_p002,1,Earliest Memories,1922,1934,6,1,-5,7
ch01_p003,1,Earliest Memories,1922,1934,2,1,-1,3
ch01_p004,1,Earliest Memories,1922,1934,13,6,-7,19
ch01_p005,1,Earliest Memories,1922,1934,14,3,-11,17
ch01_p006,1,Earliest Memories,1922,1934,2,1,-1,3
ch01_p007,1,Earliest Memories,1922,1934,5,3,-2,8
ch01_p008,1,Earliest Memories,1922,1934,7,8,1,15
ch01_p009,1,Earliest Memories,1922,1934,4,4,0,8
ch01_p010,1,Earliest Memories,1922,1934,2,3,1,5
ch01_p011,1,Earliest Memories,1922,1934,0,1,1,1
ch01_p012,1,Earliest Memories,1922,1934,15,15,0,30
ch01_p013,1,Earliest Memories,1922,1934,10,10,0,20
ch01_p014,1,Earliest Memories,1922,1934,1,1,0,2
ch02_p002,2,The Teenage Period,1935,1942,1,17,16,18
ch02_p003,2,The Teenage Period,1935,1942,1,4,3,5
ch02_p004,2,The Teenage Period,1935,1942,3,4,1,7
ch02_p005,2,The Teenage Period,1935,1942,7,5,-2,12
ch02_p006,2,The Teenage Period,1935,1942,2,9,7,11
ch02_p007,2,The Teenage Period,1935,1942,3,10,7,13
ch02_p008,2,The Teenage Period,1935,1942,2,6,4,8
ch02_p009,2,The Teenage Period,1935,1942,4,7,3,11
ch02_p010,2,The Teenage Period,1935,1942,4,5,1,9
ch02_p011,2,The Teenage Period,1935,1942,8,10,2,18
ch02_p012,2,The Teenage Period,1935,1942,2,5,3,7
ch02_p013,2,The Teenage Period,1935,1942,0,3,3,3
ch02_p014,2,The Teenage Period,1935,1942,2,3,1,5
ch02_p015,2,The Teenage Period,1935,1942,2,6,4,8
ch02_p016,2,The Teenage Period,1935,1942,3,1,-2,4
ch02_p017,2,The Teenage Period,1935,1942,2,5,3,7
ch02_p018,2,The Teenage Period,1935,1942,1,6,5,7
ch03_p001,3,World War Two,1942,1945,1,10,9,11
ch03_p002,3,World War Two,1942,1945,2,3,1,5
ch03_p003,3,World War Two,1942,1945,0,3,3,3
ch03_p004,3,World War Two,1942,1945,3,3,0,6
ch03_p005,3,World War Two,1942,1945,8,5,-3,13
ch03_p006,3,World War Two,1942,1945,4,7,3,11
ch03_p007,3,World War Two,1942,1945,10,3,-7,13
ch03_p008,3,World War Two,1942,1945,5,0,-5,5
ch03_p009,3,World War Two,1942,1945,4,2,-2,6
ch03_p010,3,World War Two,1942,1945,1,3,2,4
ch03_p011,3,World War Two,1942,1945,1,2,1,3
ch03_p012,3,World War Two,1942,1945,14,8,-6,22
ch03_p013,3,World War Two,1942,1945,8,11,3,19
ch04_p002,4,My College Years BYU and Colombia,1946,1952,7,9,2,16
ch04_p003,4,My College Years BYU and Colombia,1946,1952,16,13,-3,29
ch04_p004,4,My College Years BYU and Colombia,1946,1952,5,5,0,10
ch04_p005,4,My College Years BYU and Colombia,1946,1952,2,3,1,5
ch04_p006,4,My College Years BYU and Colombia,1946,1952,3,2,-1,5
ch04_p007,4,My College Years BYU and Colombia,1946,1952,3,7,4,10
ch04_p008,4,My College Years BYU and Colombia,1946,1952,0,4,4,4
ch04_p009,4,My College Years BYU and Colombia,1946,1952,2,5,3,7
ch04_p010,4,My College Years BYU and Colombia,1946,1952,1,5,4,6
ch04_p011,4,My College Years BYU and Colombia,1946,1952,2,8,6,10
ch04_p012,4,My College Years BYU and Colombia,1946,1952,1,0,-1,1
ch04_p013,4,My College Years BYU and Colombia,1946,1952,2,2,0,4
ch04_p014,4,My College Years BYU and Colombia,1946,1952,4,17,13,21
ch04_p015,4,My College Years BYU and Colombia,1946,1952,0,2,2,2
ch04_p016,4,My College Years BYU and Colombia,1946,1952,6,5,-1,11
ch04_p017,4,My College Years BYU and Colombia,1946,1952,2,3,1,5
ch04_p018,4,My College Years BYU and Colombia,1946,1952,5,8,3,13
ch05_p001,5,The CIA,1951,1958,6,15,9,21
ch05_p002,5,The CIA,1951,1958,7,13,6,20
ch05_p003,5,The CIA,1951,1958,2,9,7,11
ch05_p004,5,The CIA,1951,1958,3,4,1,7
ch05_p005,5,The CIA,1951,1958,0,3,3,3
ch05_p006,5,The CIA,1951,1958,2,3,1,5
