chapter,chapter_title,word,freq
1,Earliest Memories,some,21
1,Earliest Memories,one,19
1,Earliest Memories,mother,18
1,Earliest Memories,idaho,14
1,Earliest Memories,family,14
1,Earliest Memories,recall,14
1,Earliest Memories,years,14
1,Earliest Memories,time,14
1,Earliest Memories,being,14
1,Earliest Memories,school,14
1,Earliest Memories,house,13
1,Earliest Memories,richard,13
1,Earliest Memories,falls,11
1,Earliest Memories,arizona,11
1,Earliest Memories,because,10
1,Earliest Memories,lived,10
1,Earliest Memories,much,9
1,Earliest Memories,period,8
1,Earliest Memories,mesa,8
1,Earliest Memories,temple,8
1,Earliest Memories,did,8
1,Earliest Memories,him,8
1,Earliest Memories,also,8
1,Earliest Memories,uncle,8
1,Earliest Memories,year,8
1,Earliest Memories,carmen,8
1,Earliest Memories,got,7
1,Earliest Memories,remember,7
1,Earliest Memories,brother,7
1,Earliest Memories,little,7
1,Earliest Memories,first,7
1,Earliest Memories,other,7
1,Earliest Memories,having,7
1,Earliest Memories,area,7
1,Earliest Memories,depression,7
1,Earliest Memories,father,6
1,Earliest Memories,stayed,6
1,Earliest Memories,emerson,6
1,Earliest Memories,only,6
1,Earliest Memories,quite,6
1,Earliest Memories,work,6
1,Earliest Memories,church,6
1,Earliest Memories,occasion,6
1,Earliest Memories,been,6
1,Earliest Memories,since,6
1,Earliest Memories,apparently,6
1,Earliest Memories,always,6
1,Earliest Memories,old,6
1,Earliest Memories,long,6
1,Earliest Memories,ila,5
1,Earliest Memories,rose,5
1,Earliest Memories,probably,5
1,Earliest Memories,martin,5
1,Earliest Memories,never,5
1,Earliest Memories,utah,5
1,Earliest Memories,sometime,5
1,Earliest Memories,must,5
1,Earliest Memories,members,5
1,Earliest Memories,still,5
1,Earliest Memories,know,5
1,Earliest Memories,children,5
1,Earliest Memories,something,5
1,Earliest Memories,aunt,5
1,Earliest Memories,salmon,5
1,Earliest Memories,life,4
1,Earliest Memories,harris,4
1,Earliest Memories,early,4
1,Earliest Memories,off,4
1,Earliest Memories,poor,4
1,Earliest Memories,own,4
1,Earliest Memories,well,4
1,Earliest Memories,suffered,4
1,Earliest Memories,used,4
1,Earliest Memories,didnt,4
1,Earliest Memories,what,4
1,Earliest Memories,day,4
1,Earliest Memories,coming,4
1,Earliest Memories,through,4
1,Earliest Memories,car,4
1,Earliest Memories,dont,4
1,Earliest Memories,find,4
1,Earliest Memories,sarah,4
1,Earliest Memories,sol,4
1,Earliest Memories,small,4
1,Earliest Memories,although,4
1,Earliest Memories,army,4
1,Earliest Memories,room,4
1,Earliest Memories,roosevelt,4
1,Earliest Memories,fathers,3
1,Earliest Memories,owned,3
1,Earliest Memories,following,3
1,Earliest Memories,moved,3
1,Earliest Memories,around,3
1,Earliest Memories,four,3
1,Earliest Memories,died,3
1,Earliest Memories,may,3
1,Earliest Memories,shortly,3
1,Earliest Memories,seem,3
1,Earliest Memories,cold,3
1,Earliest Memories,black,3
2,The Teenage Period,school,26
2,The Teenage Period,time,16
2,The Teenage Period,just,16
2,The Teenage Period,year,15
2,The Teenage Period,work,14
2,The Teenage Period,high,12
2,The Teenage Period,idaho,12
2,The Teenage Period,some,12
2,The Teenage Period,one,11
2,The Teenage Period,office,11
2,The Teenage Period,went,11
2,The Teenage Period,salt,11
2,The Teenage Period,lake,11
2,The Teenage Period,been,11
2,The Teenage Period,also,10
2,The Teenage Period,much,9
2,The Teenage Period,since,9
2,The Teenage Period,falls,9
2,The Teenage Period,jack,9
2,The Teenage Period,war,9
2,The Teenage Period,years,8
2,The Teenage Period,pretty,8
2,The Teenage Period,well,8
2,The Teenage Period,ward,8
2,The Teenage Period,didnt,8
2,The Teenage Period,good,8
2,The Teenage Period,other,8
2,The Teenage Period,joyce,8
2,The Teenage Period,always,7
2,The Teenage Period,job,7
2,The Teenage Period,lot,7
2,The Teenage Period,activities,7
2,The Teenage Period,got,7
2,The Teenage Period,married,7
2,The Teenage Period,college,7
2,The Teenage Period,these,6
2,The Teenage Period,great,6
2,The Teenage Period,things,6
2,The Teenage Period,only,6
2,The Teenage Period,did,6
2,The Teenage Period,house,6
2,The Teenage Period,never,6
2,The Teenage Period,loverna,6
2,The Teenage Period,later,5
2,The Teenage Period,days,5
2,The Teenage Period,than,5
2,The Teenage Period,received,5
2,The Teenage Period,took,5
2,The Teenage Period,city,5
2,The Teenage Period,right,5
2,The Teenage Period,meat,5
2,The Teenage Period,pay,5
2,The Teenage Period,back,5
2,The Teenage Period,because,5
2,The Teenage Period,given,5
2,The Teenage Period,area,5
2,The Teenage Period,young,5
2,The Teenage Period,take,5
2,The Teenage Period,friends,5
2,The Teenage Period,usually,5
2,The Teenage Period,reuel,5
2,The Teenage Period,telephone,5
2,The Teenage Period,training,5
2,The Teenage Period,two,4
2,The Teenage Period,part,4
2,The Teenage Period,those,4
2,The Teenage Period,family,4
2,The Teenage Period,used,4
2,The Teenage Period,cleaning,4
2,The Teenage Period,week,4
2,The Teenage Period,opportunity,4
2,The Teenage Period,member,4
2,The Teenage Period,interest,4
2,The Teenage Period,recall,4
2,The Teenage Period,going,4
2,The Teenage Period,day,4
2,The Teenage Period,enough,4
2,The Teenage Period,worked,4
2,The Teenage Period,per,4
2,The Teenage Period,few,4
2,The Teenage Period,wanted,4
2,The Teenage Period,get,4
2,The Teenage Period,ever,4
2,The Teenage Period,summer,4
2,The Teenage Period,mother,4
2,The Teenage Period,returned,4
2,The Teenage Period,getting,4
2,The Teenage Period,california,4
2,The Teenage Period,pomona,4
2,The Teenage Period,eventually,4
2,The Teenage Period,little,4
2,The Teenage Period,union,4
2,The Teenage Period,what,4
2,The Teenage Period,came,4
2,The Teenage Period,student,4
2,The Teenage Period,involved,4
2,The Teenage Period,together,4
2,The Teenage Period,although,4
2,The Teenage Period,group,4
2,The Teenage Period,called,4
3,World War Two,ship,21
3,World War Two,japanese,16
3,World War Two,one,14
3,World War Two,some,11
3,World War Two,wasp,11
3,World War Two,war,10
3,World War Two,carrier,9
3,World War Two,training,8
3,World War Two,went,8
3,World War Two,aircraft,8
3,World War Two,navy,7
3,World War Two,group,7
3,World War Two,part,6
3,World War Two,off,6
3,World War Two,than,6
3,World War Two,what,6
3,World War Two,able,6
3,World War Two,time,6
3,World War Two,been,6
3,World War Two,ships,6
3,World War Two,electronics,5
3,World War Two,only,5
3,World War Two,well,5
3,World War Two,also,5
3,World War Two,much,5
3,World War Two,being,5
3,World War Two,boston,5
3,World War Two,aboard,5
3,World War Two,first,5
3,World War Two,task,5
3,World War Two,force,5
3,World War Two,hit,5
3,World War Two,planes,5
3,World War Two,damage,5
3,World War Two,deck,5
3,World War Two,other,5
3,World War Two,home,5
3,World War Two,island,4
3,World War Two,get,4
3,World War Two,ever,4
3,World War Two,these,4
3,World War Two,assigned,4
3,World War Two,air,4
3,World War Two,even,4
3,World War Two,duty,4
3,World War Two,family,4
3,World War Two,just,4
3,World War Two,made,4
3,World War Two,new,4
3,World War Two,cruise,4
3,World War Two,train,4
3,World War Two,because,4
3,World War Two,name,4
3,World War Two,sea,4
3,World War Two,repairs,4
3,World War Two,pacific,4
3,World War Two,through,4
3,World War Two,under,4
3,World War Two,way,4
3,World War Two,several,4
3,World War Two,bremerton,4
3,World War Two,president,4
3,World War Two,roosevelt,4
3,World War Two,lds,4
3,World War Two,atomic,4
3,World War Two,however,4
3,World War Two,having,3
3,World War Two,two,3
3,World War Two,recall,3
3,World War Two,later,3
3,World War Two,married,3
3,World War Two,since,3
3,World War Two,down,3
3,World War Two,high,3
3,World War Two,school,3
3,World War Two,fortunately,3
3,World War Two,got,3
3,World War Two,radar,3
3,World War Two,turned,3
3,World War Two,although,3
3,World War Two,church,3
3,World War Two,servicemen,3
3,World War Two,few,3
