chapter,chapter_title,approx_start_year,approx_end_year,life_stage,primary_locations,notes,include_in_timeline,date_confidence,boundary_review_status,timeline_review_status,word_count,char_count,year_count,year_candidates,needs_review,source_used,rds_file_count,pdf_file_count,duration_years,timeline_label,is_aggregate,timeline_review_note
1,Earliest Memories,1922,1934,Childhood and early adolescence,"Idaho Falls, ID; Mesa, AZ; Pomona, CA","Approximate. Begins with family history, Idaho Falls, Mesa, father death, Depression-era childhood, and early school years. Dates need manual review against scans.",TRUE,medium,review_after_raw_rds_rebuild,needs_review,3695,19745,15,1916; 1917; 1918; 1924; 1926; 1927; 1928; 1977; 1929; 1930; 1932; 1940; 1933; 1934; 1935,FALSE,data/raw/corpus_raw_from_rds.json,11,11,13,Chapter 1: Earliest Memories,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
2,The Teenage Period,1935,1942,"Teenage years, early work, first marriage","Idaho Falls, ID; Pomona, CA; Salt Lake City, UT","Approximate. Covers church youth roles, work, high school, Pomona, Salt Lake City, Western Electric, Pearl Harbor, Joyce, and enlistment.",TRUE,medium,review_after_raw_rds_rebuild,needs_review,3896,21043,11,1934; 1980; 1936; 1937; 1939; 1940; 1988; 1941; 1942; 1943; 1945,FALSE,data/raw/corpus_raw_from_rds.json,11,11,8,Chapter 2: The Teenage Period,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
3,World War Two,1942,1945,Military service,U.S. Navy; Treasure Island; Logan; Corpus Christi; Quonset Point; USS Wasp; Pacific theater,"Approximate. Covers Navy electronics/radar training, USS Wasp, Pacific engagements, ship damage, end of war, and discharge.",TRUE,high,review_after_raw_rds_rebuild,needs_source_events,2760,15556,5,1942; 1943; 1944; 1986; 1945,FALSE,data/raw/corpus_raw_from_rds.json,11,11,4,Chapter 3: World War Two,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
4,My College Years BYU and Colombia,1946,1952,"College, remarriage, church service, early family formation","Idaho Falls, ID; Provo, UT; BYU; Colombia",Approximate. Needs review after fuller chapter pass; title comes from old app/corpus heading.,TRUE,medium,needs_review,needs_review,4368,24399,9,1946; 1947; 1948; 1939; 1932; 1949; 1950; 1953; 1952,FALSE,data/raw/corpus_raw_from_rds.json,11,11,7,Chapter 4: My College Years BYU and Colombia,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
5,The CIA,1951,1958,Early intelligence career,"Washington, DC area; Munich; Europe; CIA assignments",Approximate. Needs review after entity/timeline extraction. Includes early CIA period and field operations context.,TRUE,low,needs_review,needs_review,6498,36730,14,1947; 1939; 1950; 1952; 1951; 1954; 1936; 1953; 1955; 1943; 1882; 1860; 1835; 1845,FALSE,data/raw/corpus_raw_from_rds.json,11,11,8,Chapter 5: The CIA,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
6,Montevideo Uruguay,1955,1959,Foreign service assignment,"Montevideo, Uruguay; Paraguay; Brazil/Argentina border region","Approximate. Corpus heading includes Montevideo Uruguay; text includes return-to-headquarters material near boundary, so boundaries need review.",TRUE,low,needs_review,needs_review,3963,22418,10,1955; 1956; 1957; 1969; 1958; 1930; 1940; 1950; 1959; 1982,FALSE,data/raw/corpus_raw_from_rds.json,11,11,5,Chapter 6: Montevideo Uruguay,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
7,Headquarters Duty,1960,1964,Headquarters and family life,"Washington, DC area; Virginia; Utah/California home leave",Approximate. Needs review after detailed timeline extraction.,TRUE,low,needs_review,needs_review,3974,22410,7,1960; 1961; 1963; 1965; 1962; 1950; 1964,FALSE,data/raw/corpus_raw_from_rds.json,11,11,5,Chapter 7: Headquarters Duty,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
8,Rio De Janeiro,1965,1968,Foreign service assignment,"Rio de Janeiro, Brazil",Approximate. Corpus heading has OCR variation around chapter eight/Rio de Janeiro.,TRUE,low,needs_review,needs_review,3157,17046,3,1965; 1966; 1988,FALSE,data/raw/corpus_raw_from_rds.json,11,11,4,Chapter 8: Rio De Janeiro,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
9,The McLean Va. Years,1968,1970,Family and career in Virginia,"McLean, VA; Washington, DC area",Approximate. Old UI says Mclean Va. Years; OCR heading has McLean variation.,TRUE,medium,needs_review,needs_review,1321,7612,2,1964; 1968,FALSE,data/raw/corpus_raw_from_rds.json,11,11,3,Chapter 9: The McLean Va. Years,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
10,Making a Career Change,1968,1973,Personnel management career transition,"Washington, DC area; CIA personnel management staff",Approximate. Text explicitly frames this as a major career change and personnel management period.,TRUE,medium,needs_review,needs_source_events,2726,15842,5,1968; 1973; 1969; 1971; 1972,FALSE,data/raw/corpus_raw_from_rds.json,11,11,6,Chapter 10: Making a Career Change,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
11,Post Rio to Retirement,1968,1975,Later career and retirement transition,"Washington, DC area; Virginia; later family/travel locations","Approximate. Needs review; final chapter appears to cover later career, family events, and retirement.",TRUE,low,needs_review,needs_review,3580,20044,9,1968; 1974; 1969; 1970; 1972; 1971; 1973; 1955; 1975,FALSE,data/raw/corpus_raw_from_rds.json,11,11,8,Chapter 11: Post Rio to Retirement,FALSE,Curated date range. Year candidates may include historical background or retrospective references.
12,Full Text,NA,NA,Reference view,All locations,"Derived full-text reference, not a narrative chapter. Exclude from timeline and chapter-level comparisons unless explicitly needed.",FALSE,not_applicable,not_applicable,not_applicable,39938,222865,60,1916; 1917; 1918; 1924; 1926; 1927; 1928; 1977; 1929; 1930; 1932; 1940; 1933; 1934; 1935; 1980; 1936; 1937; 1939; 1988; 1941; 1942; 1943; 1945; 1944; 1986; 1946; 1947; 1948; 1949,FALSE,data/raw/corpus_raw_from_rds.json,11,11,NA,Chapter 12: Full Text,TRUE,Aggregate full-text row; exclude from chapter timeline charts.
