chapter,chapter_title,word_count,char_count,year_count,year_candidates,likely_empty,likely_tiny,needs_review,source_used,rds_file_count,pdf_file_count
1,Earliest Memories,3695,19745,15,1916; 1917; 1918; 1924; 1926; 1927; 1928; 1977; 1929; 1930; 1932; 1940; 1933; 1934; 1935,FALSE,FALSE,FALSE,data/raw/corpus_raw_from_rds.json,11,11
2,The Teenage Period,3896,21043,11,1934; 1980; 1936; 1937; 1939; 1940; 1988; 1941; 1942; 1943; 1945,FALSE,FALSE,FALSE,data/raw/corpus_raw_from_rds.json,11,11
3,World War Two,2760,15556,5,1942; 1943; 1944; 1986; 1945,FALSE,FALSE,FALSE,data/raw/corpus_raw_from_rds.json,11,11
4,My College Years BYU and Colombia,4368,24399,9,1946; 1947; 1948; 1939; 1932; 1949; 1950; 1953; 1952,FALSE,FALSE,FALSE,data/raw/corpus_raw_from_rds.json,11,11
5,The CIA,6498,36730,14,1947; 1939; 1950; 1952; 1951; 1954; 1936; 1953; 1955; 1943; 1882; 1860; 1835; 1845,FALSE,FALSE,FALSE,data/raw/corpus_raw_from_rds.json,11,11
6,Montevideo Uruguay,3963,22418,10,1955; 1956; 1957; 1969; 1958; 1930; 1940; 1950; 1959; 1982,FALSE,FALSE,FALSE,data/raw/corpus_raw_from_rds.json,11,11
7,Headquarters Duty,3974,22410,7,1960; 1961; 1963; 1965; 1962; 1950; 1964,FALSE,FALSE,FALSE,data/raw/corpus_raw_from_rds.json,11,11
8,Rio De Janeiro,3157,17046,3,1965; 1966; 1988,FALSE,FALSE,FALSE,data/raw/corpus_raw_from_rds.json,11,11
9,The McLean Va. Years,1321,7612,2,1964; 1968,FALSE,FALSE,FALSE,data/raw/corpus_raw_from_rds.json,11,11
10,Making a Career Change,2726,15842,5,1968; 1973; 1969; 1971; 1972,FALSE,FALSE,FALSE,data/raw/corpus_raw_from_rds.json,11,11
11,Post Rio to Retirement,3580,20044,9,1968; 1974; 1969; 1970; 1972; 1971; 1973; 1955; 1975,FALSE,FALSE,FALSE,data/raw/corpus_raw_from_rds.json,11,11
12,Full Text,39938,222865,60,1916; 1917; 1918; 1924; 1926; 1927; 1928; 1977; 1929; 1930; 1932; 1940; 1933; 1934; 1935; 1980; 1936; 1937; 1939; 1988; 1941; 1942; 1943; 1945; 1944; 1986; 1946; 1947; 1948; 1949,FALSE,FALSE,FALSE,data/raw/corpus_raw_from_rds.json,11,11
