chapter,chapter_title,chapter_label,dominant_emotion,dominant_count,rate_per_1000_words,lexicon_source
1,Earliest Memories,Ch. 10: Making a Career Change,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 11: Post Rio to Retirement,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 1: Earliest Memories,trust,128,35.27142463488565,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 2: The Teenage Period,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 3: World War Two,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 4: My College Years BYU and Colombia,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 5: The CIA,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 6: Montevideo Uruguay,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 7: Headquarters Duty,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 8: Rio De Janeiro,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 9: The McLean Va. Years,anger,0,0,NRC lexicon via tidytext/textdata
1,Headquarters Duty,Ch. 10: Making a Career Change,anger,0,0,NRC lexicon via tidytext/textdata
1,Headquarters Duty,Ch. 11: Post Rio to Retirement,anger,0,0,NRC lexicon via tidytext/textdata
1,Headquarters Duty,Ch. 1: Earliest Memories,anger,0,0,NRC lexicon via tidytext/textdata
1,Headquarters Duty,Ch. 2: The Teenage Period,anger,0,0,NRC lexicon via tidytext/textdata
1,Headquarters Duty,Ch. 3: World War Two,anger,0,0,NRC lexicon via tidytext/textdata
1,Headquarters Duty,Ch. 4: My College Years BYU and Colombia,anger,0,0,NRC lexicon via tidytext/textdata
1,Headquarters Duty,Ch. 5: The CIA,anger,0,0,NRC lexicon via tidytext/textdata
1,Headquarters Duty,Ch. 6: Montevideo Uruguay,anger,0,0,NRC lexicon via tidytext/textdata
1,Headquarters Duty,Ch. 7: Headquarters Duty,anger,0,0,NRC lexicon via tidytext/textdata
1,Headquarters Duty,Ch. 8: Rio De Janeiro,anger,0,0,NRC lexicon via tidytext/textdata
1,Headquarters Duty,Ch. 9: The McLean Va. Years,anger,0,0,NRC lexicon via tidytext/textdata
1,Making a Career Change,Ch. 10: Making a Career Change,anger,0,0,NRC lexicon via tidytext/textdata
1,Making a Career Change,Ch. 11: Post Rio to Retirement,anger,0,0,NRC lexicon via tidytext/textdata
1,Making a Career Change,Ch. 1: Earliest Memories,anger,0,0,NRC lexicon via tidytext/textdata
1,Making a Career Change,Ch. 2: The Teenage Period,anger,0,0,NRC lexicon via tidytext/textdata
1,Making a Career Change,Ch. 3: World War Two,anger,0,0,NRC lexicon via tidytext/textdata
1,Making a Career Change,Ch. 4: My College Years BYU and Colombia,anger,0,0,NRC lexicon via tidytext/textdata
1,Making a Career Change,Ch. 5: The CIA,anger,0,0,NRC lexicon via tidytext/textdata
1,Making a Career Change,Ch. 6: Montevideo Uruguay,anger,0,0,NRC lexicon via tidytext/textdata
1,Making a Career Change,Ch. 7: Headquarters Duty,anger,0,0,NRC lexicon via tidytext/textdata
1,Making a Career Change,Ch. 8: Rio De Janeiro,anger,0,0,NRC lexicon via tidytext/textdata
1,Making a Career Change,Ch. 9: The McLean Va. Years,anger,0,0,NRC lexicon via tidytext/textdata
1,Montevideo Uruguay,Ch. 10: Making a Career Change,anger,0,0,NRC lexicon via tidytext/textdata
1,Montevideo Uruguay,Ch. 11: Post Rio to Retirement,anger,0,0,NRC lexicon via tidytext/textdata
1,Montevideo Uruguay,Ch. 1: Earliest Memories,anger,0,0,NRC lexicon via tidytext/textdata
1,Montevideo Uruguay,Ch. 2: The Teenage Period,anger,0,0,NRC lexicon via tidytext/textdata
1,Montevideo Uruguay,Ch. 3: World War Two,anger,0,0,NRC lexicon via tidytext/textdata
1,Montevideo Uruguay,Ch. 4: My College Years BYU and Colombia,anger,0,0,NRC lexicon via tidytext/textdata
1,Montevideo Uruguay,Ch. 5: The CIA,anger,0,0,NRC lexicon via tidytext/textdata
1,Montevideo Uruguay,Ch. 6: Montevideo Uruguay,anger,0,0,NRC lexicon via tidytext/textdata
1,Montevideo Uruguay,Ch. 7: Headquarters Duty,anger,0,0,NRC lexicon via tidytext/textdata
1,Montevideo Uruguay,Ch. 8: Rio De Janeiro,anger,0,0,NRC lexicon via tidytext/textdata
1,Montevideo Uruguay,Ch. 9: The McLean Va. Years,anger,0,0,NRC lexicon via tidytext/textdata
