chapter,chapter_title,chapter_label,chapter_word_count,sentiment,count,rate_per_1000_words,lexicon_source
1,Earliest Memories,Ch. 1: Earliest Memories,1325,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 1: Earliest Memories,2732,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 1: Earliest Memories,2743,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 1: Earliest Memories,3158,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 1: Earliest Memories,3565,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 1: Earliest Memories,3629,anger,35,9.644530173601543,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 1: Earliest Memories,3847,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 1: Earliest Memories,3974,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 1: Earliest Memories,3978,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 1: Earliest Memories,4352,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 1: Earliest Memories,6521,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 10: Making a Career Change,1325,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 10: Making a Career Change,2732,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 10: Making a Career Change,2743,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 10: Making a Career Change,3158,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 10: Making a Career Change,3565,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 10: Making a Career Change,3629,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 10: Making a Career Change,3847,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 10: Making a Career Change,3974,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 10: Making a Career Change,3978,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 10: Making a Career Change,4352,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 10: Making a Career Change,6521,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 11: Post Rio to Retirement,1325,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 11: Post Rio to Retirement,2732,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 11: Post Rio to Retirement,2743,anger,0,0,NRC lexicon via tidytext/textdata
1,Earliest Memories,Ch. 11: Post Rio to Retirement,3158,anger,0,0,NRC lexicon via tidytext/textdata
