passage_id,citation_label,chapter,chapter_title,passage_number,passage_word_count,dominant_emotion,dominant_count,rate_per_1000_words,lexicon_source
ch01_p001,"Ch. 1: Earliest Memories, passage 1",1,Earliest Memories,1,236,anticipation,9,38.13559322033898,NRC lexicon via tidytext/textdata
ch01_p002,"Ch. 1: Earliest Memories, passage 2",1,Earliest Memories,2,232,anticipation,4,17.241379310344826,NRC lexicon via tidytext/textdata
ch01_p003,"Ch. 1: Earliest Memories, passage 3",1,Earliest Memories,3,228,trust,9,39.473684210526315,NRC lexicon via tidytext/textdata
ch01_p004,"Ch. 1: Earliest Memories, passage 4",1,Earliest Memories,4,270,trust,12,44.44444444444444,NRC lexicon via tidytext/textdata
ch01_p005,"Ch. 1: Earliest Memories, passage 5",1,Earliest Memories,5,261,sadness,15,57.47126436781609,NRC lexicon via tidytext/textdata
ch01_p006,"Ch. 1: Earliest Memories, passage 6",1,Earliest Memories,6,234,trust,14,59.82905982905983,NRC lexicon via tidytext/textdata
ch01_p007,"Ch. 1: Earliest Memories, passage 7",1,Earliest Memories,7,252,trust,10,39.682539682539684,NRC lexicon via tidytext/textdata
ch01_p008,"Ch. 1: Earliest Memories, passage 8",1,Earliest Memories,8,260,trust,16,61.53846153846154,NRC lexicon via tidytext/textdata
ch01_p009,"Ch. 1: Earliest Memories, passage 9",1,Earliest Memories,9,242,anticipation,8,33.057851239669425,NRC lexicon via tidytext/textdata
ch01_p010,"Ch. 1: Earliest Memories, passage 10",1,Earliest Memories,10,242,anticipation,8,33.057851239669425,NRC lexicon via tidytext/textdata
ch01_p011,"Ch. 1: Earliest Memories, passage 11",1,Earliest Memories,11,235,joy,11,46.80851063829787,NRC lexicon via tidytext/textdata
ch01_p012,"Ch. 1: Earliest Memories, passage 12",1,Earliest Memories,12,231,anticipation,7,30.303030303030305,NRC lexicon via tidytext/textdata
ch01_p013,"Ch. 1: Earliest Memories, passage 13",1,Earliest Memories,13,233,trust,8,34.33476394849785,NRC lexicon via tidytext/textdata
ch01_p014,"Ch. 1: Earliest Memories, passage 14",1,Earliest Memories,14,231,fear,4,17.316017316017316,NRC lexicon via tidytext/textdata
ch01_p015,"Ch. 1: Earliest Memories, passage 15",1,Earliest Memories,15,242,anticipation,8,33.057851239669425,NRC lexicon via tidytext/textdata
