chapter,chapter_title,file,url
1,Earliest Memories,CH-1.pdf,assets/pdf/CH-1.pdf
2,The Teenage Period,CH-2.pdf,assets/pdf/CH-2.pdf
3,World War 2,CH-3.pdf,assets/pdf/CH-3.pdf
4,My College Years BYU and Colombia,CH-4.pdf,assets/pdf/CH-4.pdf
5,The CIA,CH-5.pdf,assets/pdf/CH-5.pdf
6,Montevideo Uruguay,CH-6.pdf,assets/pdf/CH-6.pdf
7,Headquarters Duty,CH-7.pdf,assets/pdf/CH-7.pdf
8,Rio De Janeiro,CH-8.pdf,assets/pdf/CH-8.pdf
9,The Mclean Va. Years,CH-9.pdf,assets/pdf/CH-9.pdf
10,Making a Career Change,CH-10.pdf,assets/pdf/CH-10.pdf
11,Post Rio to Retirement,CH-11.pdf,assets/pdf/CH-11.pdf
