chapter,chapter_title,word,n,font_size
1,Earliest Memories,mother,18,3.4
1,Earliest Memories,family,14,2.71
1,Earliest Memories,idaho,14,2.71
1,Earliest Memories,recall,14,2.71
1,Earliest Memories,school,14,2.71
1,Earliest Memories,time,14,2.71
1,Earliest Memories,house,13,2.53
1,Earliest Memories,richard,13,2.53
1,Earliest Memories,arizona,11,2.19
1,Earliest Memories,falls,11,2.19
1,Earliest Memories,lived,10,2.01
1,Earliest Memories,carmen,8,1.67
1,Earliest Memories,mesa,8,1.67
1,Earliest Memories,period,8,1.67
1,Earliest Memories,temple,8,1.67
1,Earliest Memories,uncle,8,1.67
1,Earliest Memories,brother,7,1.49
1,Earliest Memories,depression,7,1.49
1,Earliest Memories,remember,7,1.49
1,Earliest Memories,apparently,6,1.32
1,Earliest Memories,church,6,1.32
1,Earliest Memories,emerson,6,1.32
1,Earliest Memories,father,6,1.32
1,Earliest Memories,occasion,6,1.32
1,Earliest Memories,stayed,6,1.32
1,Earliest Memories,aunt,5,1.15
1,Earliest Memories,children,5,1.15
1,Earliest Memories,ila,5,1.15
1,Earliest Memories,martin,5,1.15
1,Earliest Memories,rose,5,1.15
1,Earliest Memories,salmon,5,1.15
1,Earliest Memories,utah,5,1.15
1,Earliest Memories,army,4,0.97
1,Earliest Memories,car,4,0.97
1,Earliest Memories,coming,4,0.97
1,Earliest Memories,day,4,0.97
1,Earliest Memories,harris,4,0.97
1,Earliest Memories,life,4,0.97
1,Earliest Memories,poor,4,0.97
1,Earliest Memories,roosevelt,4,0.97
1,Earliest Memories,sarah,4,0.97
1,Earliest Memories,sol,4,0.97
1,Earliest Memories,suffered,4,0.97
1,Earliest Memories,black,3,0.8
1,Earliest Memories,child,3,0.8
1,Earliest Memories,coal,3,0.8
1,Earliest Memories,cold,3,0.8
1,Earliest Memories,cotton,3,0.8
1,Earliest Memories,couple,3,0.8
1,Earliest Memories,decided,3,0.8
1,Earliest Memories,died,3,0.8
1,Earliest Memories,elected,3,0.8
1,Earliest Memories,food,3,0.8
1,Earliest Memories,garden,3,0.8
1,Earliest Memories,grew,3,0.8
1,Earliest Memories,heard,3,0.8
1,Earliest Memories,home,3,0.8
1,Earliest Memories,hoover,3,0.8
1,Earliest Memories,ice,3,0.8
1,Earliest Memories,imagine,3,0.8
1,Earliest Memories,joined,3,0.8
1,Earliest Memories,kids,3,0.8
1,Earliest Memories,located,3,0.8
1,Earliest Memories,loverna,3,0.8
1,Earliest Memories,married,3,0.8
1,Earliest Memories,mother's,3,0.8
1,Earliest Memories,move,3,0.8
1,Earliest Memories,moved,3,0.8
1,Earliest Memories,owned,3,0.8
1,Earliest Memories,photograph,3,0.8
1,Earliest Memories,return,3,0.8
1,Earliest Memories,river,3,0.8
1,Earliest Memories,sand,3,0.8
1,Earliest Memories,shortly,3,0.8
1,Earliest Memories,sister,3,0.8
2,The Teenage Period,school,26,3.4
2,The Teenage Period,time,16,2.27
2,The Teenage Period,idaho,12,1.82
2,The Teenage Period,lake,11,1.7
2,The Teenage Period,office,11,1.7
2,The Teenage Period,salt,11,1.7
2,The Teenage Period,falls,9,1.48
2,The Teenage Period,jack,9,1.48
2,The Teenage Period,war,9,1.48
2,The Teenage Period,joyce,8,1.37
2,The Teenage Period,pretty,8,1.37
2,The Teenage Period,ward,8,1.37
2,The Teenage Period,activities,7,1.25
2,The Teenage Period,college,7,1.25
2,The Teenage Period,job,7,1.25
2,The Teenage Period,lot,7,1.25
2,The Teenage Period,married,7,1.25
2,The Teenage Period,house,6,1.14
2,The Teenage Period,loverna,6,1.14
2,The Teenage Period,city,5,1.03
2,The Teenage Period,days,5,1.03
2,The Teenage Period,friends,5,1.03
2,The Teenage Period,meat,5,1.03
2,The Teenage Period,pay,5,1.03
2,The Teenage Period,received,5,1.03
2,The Teenage Period,reuel,5,1.03
2,The Teenage Period,telephone,5,1.03
2,The Teenage Period,training,5,1.03
2,The Teenage Period,boss,4,0.91
2,The Teenage Period,california,4,0.91
2,The Teenage Period,called,4,0.91
2,The Teenage Period,church,4,0.91
2,The Teenage Period,cleaning,4,0.91
2,The Teenage Period,day,4,0.91
2,The Teenage Period,divorce,4,0.91
2,The Teenage Period,eventually,4,0.91
2,The Teenage Period,family,4,0.91
2,The Teenage Period,involved,4,0.91
2,The Teenage Period,japan,4,0.91
2,The Teenage Period,marriage,4,0.91
2,The Teenage Period,mother,4,0.91
2,The Teenage Period,opportunity,4,0.91
2,The Teenage Period,pomona,4,0.91
2,The Teenage Period,recall,4,0.91
2,The Teenage Period,returned,4,0.91
2,The Teenage Period,student,4,0.91
2,The Teenage Period,summer,4,0.91
2,The Teenage Period,union,4,0.91
2,The Teenage Period,week,4,0.91
2,The Teenage Period,activity,3,0.8
2,The Teenage Period,afford,3,0.8
2,The Teenage Period,air,3,0.8
2,The Teenage Period,attended,3,0.8
2,The Teenage Period,britain,3,0.8
2,The Teenage Period,charge,3,0.8
2,The Teenage Period,coal,3,0.8
2,The Teenage Period,coops,3,0.8
2,The Teenage Period,dad,3,0.8
2,The Teenage Period,debate,3,0.8
2,The Teenage Period,dec,3,0.8
2,The Teenage Period,electric,3,0.8
2,The Teenage Period,employment,3,0.8
2,The Teenage Period,equipment,3,0.8
2,The Teenage Period,farm,3,0.8
2,The Teenage Period,food,3,0.8
2,The Teenage Period,germany,3,0.8
2,The Teenage Period,graduation,3,0.8
2,The Teenage Period,harris,3,0.8
2,The Teenage Period,hotel,3,0.8
2,The Teenage Period,ina,3,0.8
2,The Teenage Period,indaba,3,0.8
2,The Teenage Period,installer,3,0.8
2,The Teenage Period,island,3,0.8
2,The Teenage Period,junior,3,0.8
2,The Teenage Period,kelley,3,0.8
3,World War Two,ship,21,3.4
3,World War Two,japanese,16,2.68
3,World War Two,war,11,1.96
3,World War Two,wasp,11,1.96
3,World War Two,carrier,10,1.81
3,World War Two,training,9,1.67
3,World War Two,aircraft,8,1.52
3,World War Two,navy,7,1.38
3,World War Two,force,6,1.23
3,World War Two,time,6,1.23
3,World War Two,aboard,5,1.09
3,World War Two,boston,5,1.09
3,World War Two,china,5,1.09
3,World War Two,damage,5,1.09
3,World War Two,deck,5,1.09
3,World War Two,electronics,5,1.09
3,World War Two,hit,5,1.09
3,World War Two,home,5,1.09
3,World War Two,planes,5,1.09
3,World War Two,task,5,1.09
3,World War Two,air,4,0.94
3,World War Two,assigned,4,0.94
3,World War Two,atomic,4,0.94
3,World War Two,bremerton,4,0.94
3,World War Two,cruise,4,0.94
3,World War Two,duty,4,0.94
3,World War Two,family,4,0.94
3,World War Two,history,4,0.94
